time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-08-01,2022-08-02T00:00:00.0000000Z,2022-08-01T00:00:00.0000000Z,2022-08-01T23:59:59.9990000Z,23296.36,23509.68,22850.0,23268.01,144210.16219,4775213,BINANCE_SPOT_BTC_USDT
2022-08-02,2022-08-03T00:00:00.0000000Z,2022-08-02T00:00:00.0000000Z,2022-08-02T23:59:59.9990000Z,23266.9,23459.89,22654.37,22987.79,158073.28225000005,5066511,BINANCE_SPOT_BTC_USDT
2022-08-03,2022-08-04T00:00:00.0000000Z,2022-08-03T00:00:00.0000000Z,2022-08-03T23:59:59.9980000Z,22985.93,23647.68,22681.22,22818.37,145930.17155,4886750,BINANCE_SPOT_BTC_USDT
2022-08-04,2022-08-05T00:00:00.0000000Z,2022-08-04T00:00:00.0010000Z,2022-08-04T23:59:59.9950000Z,22816.91,23223.32,22400.0,22622.98,154854.67016,4966138,BINANCE_SPOT_BTC_USDT
2022-08-05,2022-08-06T00:00:00.0000000Z,2022-08-05T00:00:00.0000000Z,2022-08-05T23:59:59.9940000Z,22622.41,23472.86,22586.95,23312.42,175251.69748999996,5340569,BINANCE_SPOT_BTC_USDT
2022-08-06,2022-08-07T00:00:00.0000000Z,2022-08-06T00:00:00.0010000Z,2022-08-06T23:59:59.9990000Z,23313.56,23354.36,22909.52,22954.21,83911.80307,3360228,BINANCE_SPOT_BTC_USDT
2022-08-07,2022-08-08T00:00:00.0000000Z,2022-08-07T00:00:00.0000000Z,2022-08-07T23:59:59.9980000Z,22954.21,23402.0,22844.62,23174.39,88872.92186,3645626,BINANCE_SPOT_BTC_USDT
2022-08-08,2022-08-09T00:00:00.0000000Z,2022-08-08T00:00:00.0000000Z,2022-08-08T23:59:59.9990000Z,23174.39,24245.0,23154.25,23810.0,170958.44151999996,5892045,BINANCE_SPOT_BTC_USDT
2022-08-09,2022-08-10T00:00:00.0000000Z,2022-08-09T00:00:00.0010000Z,2022-08-09T23:59:59.9980000Z,23810.98,23933.25,22865.0,23149.95,143182.50858000002,5105613,BINANCE_SPOT_BTC_USDT
2022-08-10,2022-08-11T00:00:00.0000000Z,2022-08-10T00:00:00.0030000Z,2022-08-10T23:59:59.9990000Z,23151.32,24226.0,22664.69,23954.05,208916.43948000003,6818197,BINANCE_SPOT_BTC_USDT
2022-08-11,2022-08-12T00:00:00.0000000Z,2022-08-11T00:00:00.0000000Z,2022-08-11T23:59:59.9950000Z,23954.05,24918.54,23852.13,23934.39,249699.81087000004,8267852,BINANCE_SPOT_BTC_USDT
2022-08-12,2022-08-13T00:00:00.0000000Z,2022-08-12T00:00:00.0020000Z,2022-08-12T23:59:59.9950000Z,23933.09,24456.5,23583.0,24403.68,174207.5704,6134163,BINANCE_SPOT_BTC_USDT
2022-08-13,2022-08-14T00:00:00.0000000Z,2022-08-13T00:00:00.0000000Z,2022-08-13T23:59:59.9980000Z,24401.7,24888.0,24291.22,24441.38,152676.11046,5614722,BINANCE_SPOT_BTC_USDT
2022-08-14,2022-08-15T00:00:00.0000000Z,2022-08-14T00:00:00.0000000Z,2022-08-14T23:59:59.9980000Z,24443.06,25047.56,24144.0,24305.24,151206.14473,5473905,BINANCE_SPOT_BTC_USDT
2022-08-15,2022-08-16T00:00:00.0000000Z,2022-08-15T00:00:00.0020000Z,2022-08-15T23:59:59.9990000Z,24305.25,25211.32,23773.22,24094.82,242539.54758,7488466,BINANCE_SPOT_BTC_USDT
2022-08-16,2022-08-17T00:00:00.0000000Z,2022-08-16T00:00:00.0010000Z,2022-08-16T23:59:59.9960000Z,24093.04,24247.49,23671.22,23854.74,179324.94820999997,5978567,BINANCE_SPOT_BTC_USDT
2022-08-17,2022-08-18T00:00:00.0000000Z,2022-08-17T00:00:00.0000000Z,2022-08-17T23:59:59.9990000Z,23856.15,24446.71,23180.4,23342.66,210535.35117000004,6897560,BINANCE_SPOT_BTC_USDT
2022-08-18,2022-08-19T00:00:00.0000000Z,2022-08-18T00:00:00.0000000Z,2022-08-18T23:59:59.9990000Z,23342.66,23600.0,23111.04,23191.2,144185.97011,6029662,BINANCE_SPOT_BTC_USDT
2022-08-19,2022-08-20T00:00:00.0000000Z,2022-08-19T00:00:00.0090000Z,2022-08-19T23:59:59.9990000Z,23191.45,23208.67,20783.57,20834.39,283964.99726,8859326,BINANCE_SPOT_BTC_USDT
2022-08-20,2022-08-21T00:00:00.0000000Z,2022-08-20T00:00:00.0010000Z,2022-08-20T23:59:59.9970000Z,20834.39,21382.85,20761.9,21140.07,183041.68362999998,5723362,BINANCE_SPOT_BTC_USDT
2022-08-21,2022-08-22T00:00:00.0000000Z,2022-08-21T00:00:00.0030000Z,2022-08-21T23:59:59.9990000Z,21140.07,21800.0,21069.11,21515.61,159200.6841,5034461,BINANCE_SPOT_BTC_USDT
2022-08-22,2022-08-23T00:00:00.0000000Z,2022-08-22T00:00:00.0010000Z,2022-08-22T23:59:59.9990000Z,21516.7,21548.71,20890.18,21399.83,222224.22887999998,6443458,BINANCE_SPOT_BTC_USDT
2022-08-23,2022-08-24T00:00:00.0000000Z,2022-08-23T00:00:00.0000000Z,2022-08-23T23:59:59.9990000Z,21400.75,21684.87,20890.14,21529.12,200848.33437,6330222,BINANCE_SPOT_BTC_USDT
2022-08-24,2022-08-25T00:00:00.0000000Z,2022-08-24T00:00:00.0000000Z,2022-08-24T23:59:59.9960000Z,21529.11,21900.0,21145.0,21368.08,174383.22046,5561412,BINANCE_SPOT_BTC_USDT
2022-08-25,2022-08-26T00:00:00.0000000Z,2022-08-25T00:00:00.0000000Z,2022-08-25T23:59:59.9990000Z,21368.05,21819.88,21310.15,21559.04,169893.51926,5617564,BINANCE_SPOT_BTC_USDT
2022-08-26,2022-08-27T00:00:00.0000000Z,2022-08-26T00:00:00.0000000Z,2022-08-26T23:59:59.9990000Z,21559.04,21886.77,20107.9,20241.05,273811.61955,7587244,BINANCE_SPOT_BTC_USDT
2022-08-27,2022-08-28T00:00:00.0000000Z,2022-08-27T00:00:00.0000000Z,2022-08-27T23:59:59.9990000Z,20239.14,20402.93,19800.0,20037.6,162582.46032,5263328,BINANCE_SPOT_BTC_USDT
2022-08-28,2022-08-29T00:00:00.0000000Z,2022-08-28T00:00:00.0000000Z,2022-08-28T23:59:59.9980000Z,20037.6,20171.18,19520.0,19555.61,139307.95976,4678693,BINANCE_SPOT_BTC_USDT
2022-08-29,2022-08-30T00:00:00.0000000Z,2022-08-29T00:00:00.0020000Z,2022-08-29T23:59:59.9990000Z,19555.61,20433.62,19550.79,20285.73,210433.88377000001,5838027,BINANCE_SPOT_BTC_USDT
2022-08-30,2022-08-31T00:00:00.0000000Z,2022-08-30T00:00:00.0000000Z,2022-08-30T23:59:59.9990000Z,20287.2,20576.25,19540.0,19811.66,256634.35528999998,6593178,BINANCE_SPOT_BTC_USDT
2022-08-31,2022-09-01T00:00:00.0000000Z,2022-08-31T00:00:00.0000000Z,2022-08-31T23:59:59.9990000Z,19813.03,20490.0,19797.94,20050.02,276911.3868999999,6388105,BINANCE_SPOT_BTC_USDT
2022-09-01,2022-09-02T00:00:00.0000000Z,2022-09-01T00:00:00.0000000Z,2022-09-01T23:59:59.9970000Z,20048.44,20208.37,19565.66,20131.46,245289.97263,5937975,BINANCE_SPOT_BTC_USDT
